key	family	doi	inclusion_role
pasquali_etal_2019	phase_space	10.1093/mnras/sty3530	mean infall-time zones for projected phase space
oman_etal_2021	quenching_clock	10.1093/mnras/staa3845	orbit-PDF delay between gas stripping and star-formation quenching
wetzel_etal_2013	quenching_clock	10.1093/mnras/stt469	delayed-then-rapid empirical satellite quenching
baxter_etal_2022	quenching_clock	10.1093/mnras/stac2149	GOGREEN simulation-matched quenching-time model
reeves_etal_2023	quenching_clock	10.1093/mnras/stad1069	forward model of stellar ages and quiescent fractions in phase space
baxter_etal_2023	quenching_clock	10.1093/mnras/stad2995	MCMC onset-radius and time-scale model for high-redshift clusters
masson_parker_2026	phase_space	10.3847/1538-4357/ae4e21	continuous symbolic-regression infall-time estimator calibrated on IllustrisTNG
balogh_navarro_morris_2000	starvation	10.1086/309323	gas-consumption model for star-formation gradients
lilly_etal_2013	gas_regulator	10.1088/0004-637X/772/2/119	gas-regulator equilibrium framework
peng_maiolino_2014	gas_regulator	10.1093/mnras/stu1288	time-dependent analytic gas regulator
carton_etal_2015	gas_regulator	10.1093/mnras/stv967	local metallicity equilibrium model
peng_etal_2015	chemical_clock	10.1038/nature14439	closed-box strangulation inference from stellar metallicity
trussler_etal_2020	chemical_clock	10.1093/mnras/stz3286	closed- and leaky-box quenching models
trussler_etal_2021	chemical_clock	10.1093/mnras/staa3545	environmental selection caveat for metallicity clocks
fillingham_etal_2016	transport	10.1093/mnras/stw2131	analytic ram-pressure and turbulent-viscous stripping of low-mass satellites
boselli_etal_2006	individual_inversion	10.1086/507766	chemo-spectrophotometric starvation-versus-RPS test for NGC 4569
boselli_etal_2008	individual_inversion	10.1086/525513	multizone dwarf transformation under RPS and starvation
fossati_etal_2018	individual_inversion	10.1051/0004-6361/201732373	resolved quenching chronology for NGC 4330
broderick_etal_2025	quenching_clock	10.3847/1538-4357/add739	toy outside-in slow-then-rapid Coma model
vollmer_etal_2008	individual_inversion	10.1051/0004-6361:20078139	pre-peak NGC 4501 dynamical model
vollmer_etal_2018	individual_inversion	10.1051/0004-6361/201731910	post-peak NGC 4388 dynamical model
vollmer_etal_2006	individual_inversion	10.1051/0004-6361:20064954	NGC 4522 dynamical RPS model
vollmer_etal_2004	individual_inversion	10.1051/0004-6361:20034552	NGC 4569 dynamical RPS model
vollmer_etal_2012	individual_inversion	10.1051/0004-6361/201117680	NGC 4330 multiwavelength RPS model
vollmer_etal_2021	individual_inversion	10.1051/0004-6361/202038507	NGC 4330 spectro-dynamical RPS model
consolandi_etal_2024	candidate_diagnostic	10.1093/mnras/stad3881	morphological diagnostic diagrams for RPS candidates
